"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.mut.1"	"u.hats.mut.2"	"u.hats.mut.3"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.mut.1"	"s.hats.mut.2"	"s.hats.mut.3"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.mut.1"	"w.hats.mut.2"	"w.hats.mut.3"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"mult"	3	0.411128844565246	0.197405119601171	0.0561012532465223	9.79140133347229	0.0417	0.0693	0.0573	0.90427	0.13641	5.58512	-3.34652	0.400561243054553	0.25885	0.52985	0.41298	0.77428	0.20947	2.15385	-4.76826	0.525783560332606	0.38246	0.65725	0.53764	0.90137	0.13847	5.46559	-3.61493
"mult"	3	0.251105456333607	0.0515078907483257	0.386180335613983	1.12769607397998	0.39869	0.39302	0.36683	0.49139	0.19434	2.75356	-11.14972	0.246546792434451	0.25689	0.26675	0.216	0.97752	0.04085	15.23066	-1.6654	0.297859260041016	0.3102	0.315	0.26838	0.92254	0.07584	10.28109	-3.47667
"add"	3	0.427781490946654	0.0598563006496988	0.0579328009212687	7.62282087630048	0.05954	0.06083	0.05342	0.98994	0.03114	17.4026	-2.27633	0.331217439505355	0.33681	0.35361	0.30324	0.86748	0.11303	7.08936	-8.51257	0.421456614371475	0.43239	0.44403	0.38795	0.9863	0.03634	16.16749	-2.60603
"add"	3	0.19600043813698	0.0396853559068404	0.355026006268369	0.802057332768059	0.33545	0.38979	0.33984	0.58258	0.10646	7.56816	-4.42245	0.174204555964811	0.15704	0.19535	0.17022	0.95454	0.03513	16.43749	-1.01559	0.200202231671482	0.18235	0.22453	0.19373	0.93127	0.0432	14.78348	-1.5849
"add"	3	0.0722096874611452	0.191883049672469	0.0456027858610175	0.678319251888481	0.51385	-0.17012	-0.20692	-0.46332	0.24662	0.84781	-6.30293	0.0752630809415037	0.26572	0.01639	-0.05632	0.18942	0.18355	3.21066	-6.94525	0.0709760588524816	0.28096	-0.00495	-0.06308	0.18731	0.18379	3.20026	-7.79663
"add"	3	0.309316797368228	0.16355654981453	0.452292085166609	1.01660999594474	0.45147	0.63778	0.26763	0.88221	0.07066	10.84759	-2.50353	0.26514439549798	0.263	0.37288	0.15956	0.07818	0.19767	2.61785	-10.00089	0.317402132630558	0.31331	0.45115	0.18775	0.47926	0.14857	4.90225	-6.40122
"add"	3	0.319180552498437	0.0108684891019948	0.404859791607642	1.14919531439988	0.41095	0.40155	0.40208	0.71683	0.13066	5.92975	-13.28994	0.262965465983593	0.26996	0.25923	0.25971	0.95044	0.05466	12.90095	-19.90167	0.319681164441392	0.32725	0.31562	0.31617	0.99895	0.00797	28.30664	-0.33066
"add"	3	0.477814137889072	0.0600958280847408	0.420981279130002	1.73229924428138	0.40662	0.42975	0.42657	0.65115	0.20951	2.15254	-5.65853	0.370596474371428	0.34769	0.3837	0.3804	0.87923	0.12327	6.39567	-5.94191	0.486092362601533	0.45937	0.50173	0.49718	0.99106	0.03353	16.81042	-0.23569
"add"	3	0.49226694162935	0.00719170056981966	0.426984304646263	1.72467612116457	0.42676	0.42815	0.42604	0.66363	0.21633	1.89602	-9.92454	0.374804466957658	0.37456	0.37642	0.37343	0.90387	0.11565	6.90614	-11.02956	0.49195823052898	0.49163	0.49392	0.49032	0.99998	0.00177	40.352	-8.63099
"add"	3	0.296321835520212	0.0669933931203559	0.383083028122255	1.22125159196999	0.38791	0.37201	0.38933	0.5176	0.16666	3.98297	-3.16691	0.258222626588957	0.2657	0.24476	0.2642	0.92609	0.06524	11.48647	-1.44283	0.316154230417545	0.32381	0.30137	0.32329	0.9331	0.06206	11.88555	-0.80061
