"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.1"	"s.hats.2"	"s.hats.3"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.1"	"w.hats.2"	"w.hats.3"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	3	-0.450064445985481	0.00632720399880782	-0.44917574585761	0.99938616902173	-0.44849	-0.44721	-0.45183	0.99993	0.00479	32.38432	-2.27923	-0.211310540859167	-0.21126	-0.20813	-0.21454	-1.02381	0.82445	-8.8072	-5.72758	-0.628245728419689	-0.62727	-0.6269	-0.63056	0.90291	0.18058	3.34119	-22.64935
"stick"	3	-0.0600549284252338	0.17281400191132	-0.994365830790141	0.0833694531850372	0.11203	-3.2798	0.18467	0.87188	0.04822	13.90355	-1.62847	-0.0530498382662925	0.02974	-0.24294	0.05406	0.79409	0.06114	12.00584	-4.26064	-0.0592495685778201	0.02192	-0.24141	0.04174	0.82867	0.05577	12.74118	-3.93947
"stick"	3	-0.376730161241721	0.245075898885261	-0.707738801515421	0.403250381970365	-0.72704	-0.50054	-0.89564	0.95276	0.10566	7.62841	-2.5971	-0.431747424560831	-0.44368	-0.37581	-0.47576	0.48594	0.34858	-1.92037	-7.98975	-0.469125519826948	-0.48024	-0.39234	-0.5348	0.78984	0.22288	1.65757	-5.44712
"stick"	3	-0.258436987909954	0.220984371553641	-0.161786810476745	1.7008092612814	-0.28169	-0.0822	-0.12147	0.87929	0.10066	8.01642	-0.66457	-0.234099503111993	-0.4683	-0.07667	-0.15733	0.46454	0.212	2.05766	-1.56685	-0.308930810047974	-0.52302	-0.16418	-0.23959	0.86794	0.10528	7.65719	-0.10827
"stick"	3	-0.226586276583839	0.11328844667878	-0.0410993184942917	6.09831762504726	-0.05853	-0.02005	-0.04472	0.84002	0.08951	8.95611	-1.27075	-0.370480000504474	-0.49896	-0.18249	-0.43	0.56772	0.14713	4.97996	-1.43863	-0.258974336723801	-0.36811	-0.12527	-0.28355	0.83858	0.08991	8.92013	-1.23056
"stick"	3	-0.496145000227261	0.187228900264017	-1.24837106238233	0.25943224052402	-0.62847	-1.65872	-1.45792	0.99555	0.05302	13.14513	-1.53249	-0.438521494085409	-0.4411	-0.49005	-0.38442	0.08249	0.76118	-8.1684	-6.71965	-0.707673431134563	-0.46011	-0.86827	-0.79463	0.72107	0.41969	-3.40553	-11.49626
"stick"	3	-0.394648127048276	0.0267747711623088	-0.371417248278231	1.09595194380406	-0.36869	-0.36614	-0.37942	0.99515	0.0341	16.67582	-1.6944	-0.592238161864728	-0.73719	-0.45119	-0.58833	0.42034	0.373	-2.46204	-6.87309	-0.538393848181108	-0.5296	-0.53236	-0.55322	0.92228	0.13658	5.57519	-7.91732
"stick"	3	-0.42334307100391	0.0334667624556459	-0.388285598839236	1.10824926914495	-0.37437	-0.3872	-0.40329	0.99747	0.02621	18.78151	-3.31465	-0.41620067213225	-0.52218	-0.52542	-0.20101	0.03234	0.51226	-5.00009	-6.01593	-0.577239767096699	-0.55591	-0.5745	-0.60131	0.91862	0.14856	4.90281	-11.6305
"stick"	3	-0.401181069761515	0.18695781705901	-1.05936977274616	0.243535960845594	-0.67476	-1.34411	-1.15923	0.9809	0.08143	9.71291	-0.67221	-0.300319959464791	-0.3558	-0.28604	-0.25912	0.20947	0.52387	-5.17949	-17.61131	-0.512891237212089	-0.38131	-0.59821	-0.55916	0.72994	0.3062	-0.88329	-5.21096
"stick"	3	-0.343515161902178	0.127013247751165	-0.529648577515975	0.607982289466314	-0.60934	-0.65176	-0.32784	0.91205	0.14898	4.87982	-1.89532	-0.535015525611951	-0.49373	-0.61446	-0.49685	0.49023	0.35868	-2.1489	-9.40839	-0.466638235061162	-0.48903	-0.54785	-0.36303	0.7963	0.22673	1.52035	-2.02615
"stick"	3	-0.34906539467629	0.235349090362433	-0.664764882967906	0.430465824985237	-0.60573	-0.41295	-0.97562	0.99018	0.04655	14.18645	-1.02707	-0.289800689143418	-0.199	-0.31585	-0.35455	0.22507	0.41359	-3.28851	-12.00335	-0.447929130458135	-0.43284	-0.30045	-0.61049	0.85281	0.18025	3.35574	-6.48525
"stick"	3	-0.24746990861604	0.122449073474854	-0.0870720056238826	3.16794499244248	-0.0551	-0.11704	-0.08908	0.95766	0.05378	13.03078	-3.15919	-0.45313980766598	-0.36837	-0.54779	-0.44325	0.55279	0.1748	3.60153	-11.51016	-0.294422255490625	-0.1922	-0.39242	-0.29865	0.95241	0.05702	12.56298	-2.42416
"stick"	3	-0.310678469284903	0.0269161310861818	-0.282368285787077	1.11848236324555	-0.2973	-0.27598	-0.27383	0.99929	0.00904	27.29438	-1.92045	-0.398206788611362	-0.41743	-0.39145	-0.38575	0.63565	0.20474	2.33641	-8.29891	-0.39231442818704	-0.41183	-0.38464	-0.38048	0.95061	0.07538	10.32968	-13.24661
"stick"	3	-0.219241676887032	0.0627847592695616	-0.524679235853569	0.321561806644238	-0.58665	-0.50321	-0.48418	0.99627	0.01423	23.66776	-0.47269	-0.369873537841105	-0.39402	-0.36065	-0.35496	0.3383	0.18946	2.95712	-8.95334	-0.249425249348906	-0.27481	-0.24011	-0.23336	0.8766	0.08182	9.67449	-9.29202
"stick"	3	-0.256176496960688	0.236720680550206	-1.459545134272	0.1	-1.6498	-0.67183	-2.05701	0.2582	0.26737	0.20158	-5.2911	-0.410077745603306	-0.52198	-0.13441	-0.57384	0.67254	0.17764	3.47243	-4.22766	-0.327031552951395	-0.40675	-0.08889	-0.48545	0.85529	0.11809	6.739	-4.36987
"stick"	3	-0.093639871024061	0.152848492725752	-0.151777283382607	0.854996117986661	-0.15894	-0.04798	-0.24841	0.90846	0.04447	14.55193	-1.45362	-0.162668479074878	-0.17885	-0.06159	-0.24757	0.85346	0.05627	12.66994	-0.90978	-0.14334023127481	-0.1534	-0.04879	-0.22783	0.89866	0.04679	14.14507	-0.72079
"stick"	3	-0.0933345985482447	0.202643878990784	-0.467053960785492	0.20919666263266	-0.01447	-0.33503	-1.05166	0.20907	0.15156	4.74246	-3.42118	-0.127051823643557	-0.08417	-0.09207	-0.20492	0.44923	0.12648	6.19007	-4.00715	-0.115120286186294	-0.06104	-0.08064	-0.20368	0.44366	0.12712	6.14977	-4.11949
"stick"	3	-0.353885018231813	0.154439678764902	-0.105564668918119	4.05506987127891	-0.13822	-0.08325	-0.09522	0.95241	0.08409	9.45591	-2.06151	-0.375333845712577	-0.43554	-0.43232	-0.25814	0.08694	0.36829	-2.36042	-5.16785	-0.465175387560298	-0.60396	-0.36508	-0.42649	0.94381	0.09136	8.79178	-2.09428
"stick"	3	-0.123827125143725	0.0715585962170735	-0.363296959413077	0.347957698128611	-0.1773	-0.53657	-0.37602	0.87264	0.06155	11.95192	-2.6137	-0.195622008479141	-0.14419	-0.24508	-0.1976	0.6538	0.10147	7.95204	-3.67991	-0.162904153577661	-0.10449	-0.21859	-0.16563	0.80327	0.0765	10.21268	-1.86135
"stick"	3	-0.169407637463883	0.131024186557624	-1.07818973994058	0.1	-1.56794	-1.0725	-0.59413	0.46159	0.13527	5.65236	-7.91562	-0.247457031818399	-0.34404	-0.29225	-0.10609	0.82374	0.0774	10.11892	-7.13958	-0.202759814357419	-0.28746	-0.22468	-0.09614	0.88029	0.06378	11.66647	-5.32817
"stick"	3	-0.171617504442111	0.147204991604667	-0.436901326769687	0.32963635625377	-0.24124	-0.56959	-0.49987	0.64262	0.14956	4.84914	-1.51205	-0.293794839318055	-0.26278	-0.30394	-0.31467	0.15221	0.23035	1.39386	-1.82388	-0.206583556135785	-0.15796	-0.23379	-0.228	0.54217	0.16927	3.85836	-0.86819
"stick"	3	-0.252032674616203	0.201297532243188	-1.06547038655524	0.145127754146601	-0.52282	-1.3479	-1.32569	0.93748	0.09078	8.8429	-1.16869	-0.242921234509662	-0.10974	-0.31889	-0.30013	0.50597	0.25519	0.57445	-5.37837	-0.315641246292767	-0.16913	-0.38163	-0.39616	0.71727	0.19305	2.80688	-3.11148
"stick"	3	-0.227253072278108	0.0650578875793144	-0.548081205362491	0.359782745230139	-0.69549	-0.43409	-0.51466	0.93121	0.07765	10.09265	-4.58319	-0.618774508574505	-0.64527	-0.61564	-0.59542	-0.88465	0.40644	-3.14893	-6.4029	-0.29458339391435	-0.34731	-0.26772	-0.26873	0.81027	0.12896	6.03469	-4.62234
"stick"	3	-0.322710712766275	0.107936606102157	-0.194409805190681	1.82895844307099	-0.20683	-0.16228	-0.21412	0.95788	0.07492	10.37931	-2.76532	-0.555605149629748	-0.63579	-0.3953	-0.63573	0.583	0.23573	1.20891	-8.3229	-0.412964773309124	-0.4455	-0.34095	-0.45244	0.93297	0.09452	8.52045	-2.89027
"stick"	3	-0.348589837760665	0.021262084657792	-0.37962539456572	0.906802649699927	-0.37403	-0.3812	-0.38364	0.9995	0.00916	27.18754	-1.06074	-0.490699232734071	-0.48144	-0.49212	-0.49854	0.55521	0.27413	0.0018	-7.54136	-0.459078209031887	-0.45226	-0.46053	-0.46445	0.92289	0.11413	7.01148	-14.44099
"stick"	3	-0.0523824246949516	0.147310334199574	-0.312147899881604	0.100507073490853	-0.38899	-0.01173	-0.53572	0.07508	0.06682	11.29502	-3.46692	-0.0422093233873433	-0.0424	-0.00478	-0.07945	0.12981	0.06481	11.53904	-4.67487	-0.040542267642524	-0.04206	-0.00429	-0.07529	0.13015	0.0648	11.54059	-4.42335
"stick"	3	-0.359734294994269	0.0638736805412918	-0.352005382090247	1.0420811027359	-0.31109	-0.37198	-0.37295	0.97188	0.07289	10.59937	-3.15968	-0.573918595109313	-0.57493	-0.52427	-0.62255	0.51252	0.30349	-0.81235	-6.83745	-0.479389993691186	-0.44032	-0.49017	-0.50768	0.90503	0.13396	5.73026	-5.33985
"stick"	3	-0.0863508887123317	0.228252377070021	0.133682331561436	0.414923725914369	-0.21917	0.29704	0.32318	-0.08524	0.29359	-0.54703	-5.79127	0.0136089736367502	-0.08662	0.07133	0.05611	-0.0207	0.28473	-0.30177	-6.50463	0.0264057154747673	-0.08959	0.0894	0.07941	-0.03715	0.28701	-0.36574	-5.43056
"stick"	3	-0.393706778029446	0.00273807969642803	-0.392353642597864	1.00432603812834	-0.39131	-0.39526	-0.3905	0.99996	0.00288	36.45503	-3.17289	-0.6813802264679	-0.68074	-0.682	-0.68141	0.41865	0.36508	-2.29035	-6.76832	-0.529867480869652	-0.5288	-0.53268	-0.52812	0.91991	0.13551	5.63839	-24.7933
"stick"	3	-0.255714703025296	0.167954517120961	-0.308666431605349	0.955401477972565	-0.21219	-0.52333	-0.19048	0.9211	0.10438	7.72601	-2.52748	-0.414421460641045	-0.24954	-0.60368	-0.39004	0.6571	0.21761	1.84896	-4.9647	-0.366707559540483	-0.24814	-0.59025	-0.26173	0.87933	0.12909	6.02661	-1.9521
"stick"	3	-0.411396565590985	0.188066667760722	-0.25247961520485	1.91647589248206	-0.28697	-0.25154	-0.21893	0.94519	0.12062	6.56967	-2.79903	-0.398064485845749	-0.52892	-0.51532	-0.14996	-0.13087	0.54789	-5.53803	-5.02125	-0.58910142512713	-0.65747	-0.5753	-0.53453	0.90493	0.15885	4.36668	-2.61538
"stick"	3	-0.250297014229	0.213201525330078	-0.0392091228447949	7.21043130916422	-0.05291	-0.03287	-0.03185	0.919	0.07046	10.86983	-2.54078	-0.454195451117697	-0.52888	-0.41384	-0.41986	0.5101	0.17329	3.67074	-4.2436	-0.291408443081124	-0.39014	-0.24529	-0.2388	0.91784	0.07096	10.81306	-2.26886
"stick"	3	-0.214219725504518	0.180791322723962	-1.1879540982835	0.1	-0.87124	-1.0907	-1.60192	-0.07894	0.18545	3.12816	-6.8308	-0.324953972843931	-0.21096	-0.34002	-0.42388	0.78842	0.08212	9.64468	-1.37187	-0.24327662623288	-0.16018	-0.23904	-0.33061	0.82049	0.07565	10.30212	-2.07392
"stick"	3	-0.440237633464858	0.0336470582988113	-0.424639396527874	1.06398929568026	-0.4333	-0.39503	-0.44558	0.99837	0.02302	19.82135	-3.0642	-0.211259021327348	-0.21321	-0.18586	-0.23471	-1.0347	0.81297	-8.69499	-5.6998	-0.621100354187236	-0.63303	-0.58779	-0.64248	0.90923	0.17171	3.74395	-13.22643
"stick"	3	-0.0781112739001401	0.116907229588833	-0.59054237275635	0.1	-0.42884	-0.6034	-0.73938	-0.61967	0.0826	9.59892	-7.38931	-0.0946536273388755	-0.07475	-0.09758	-0.11163	0.24413	0.05642	12.64736	-4.65881	-0.0877270305122159	-0.06755	-0.09013	-0.1055	0.13164	0.06048	12.09242	-4.65778
"stick"	3	-0.166692554939073	0.194338431989308	-0.155627999824363	1.07633711332433	-0.13544	-0.12853	-0.20292	0.8971	0.05365	13.05083	-2.43762	-0.235293308363554	-0.1953	-0.21749	-0.29309	0.74293	0.0848	9.38846	-2.35623	-0.189419871102899	-0.16141	-0.16288	-0.24396	0.87992	0.05795	12.4332	-2.06846
