"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"R2"	"sig.hat"	"logLike"
"2"	"0.1"	"0.1"	"1"	"58"	"RDB"	"-100"	"-0.00054"	"-0.00087"	"0.54064"	"0.07888"	"5.48348"
"2"	"0.1"	"0.1"	"1"	"59"	"RDB"	"-100"	"-0.00134"	"-0.00055"	"0.72624"	"0.06326"	"6.36594"
"2"	"0.1"	"0.1"	"1"	"60"	"RDB"	"-100"	"-0.00352"	"0.00045"	"0.98515"	"0.0279"	"9.64026"
"2"	"0.1"	"0.1"	"1"	"61"	"RDB"	"0.22108"	"0"	"0.18107"	"-3.42103"	"0.21941"	"1.39148"
"2"	"0.1"	"0.1"	"1"	"62"	"RDB"	"-100"	"-7e-04"	"-0.00025"	"0.58631"	"0.05012"	"7.29739"
"2"	"0.1"	"0.1"	"1"	"63"	"RDB"	"0.03105"	"0"	"0.47595"	"-1.61326"	"0.22547"	"1.28247"
"2"	"0.1"	"0.1"	"1"	"64"	"RDB"	"0.10934"	"0"	"0.40923"	"-6.70479"	"0.10857"	"4.20567"
"2"	"0.1"	"0.1"	"1"	"65"	"RDB"	"-0.11487"	"-3.05275"	"0.55947"	"1"	"0"	"Inf"
"2"	"0.1"	"0.1"	"1"	"66"	"RDB"	"0.22363"	"0.73726"	"0.97747"	"1"	"0"	"140.88515"
"2"	"0.1"	"0.1"	"1"	"67"	"RDB"	"0.34683"	"0.11568"	"0.1283"	"1"	"0"	"Inf"
"2"	"0.1"	"0.1"	"1"	"68"	"RDB"	"0.06427"	"0.74403"	"0"	"-1.81007"	"0.19677"	"1.82716"
"2"	"0.1"	"0.1"	"1"	"69"	"RDB"	"-100"	"-0.0021"	"-0.00105"	"-1.31847"	"0.293"	"0.23459"
"2"	"0.1"	"0.1"	"1"	"70"	"RDB"	"-100"	"-0.00193"	"-0.00034"	"0.4807"	"0.17713"	"2.24769"
"2"	"0.1"	"0.1"	"1"	"71"	"RDB"	"0.14757"	"0"	"0.72651"	"-8.0742"	"0.17364"	"2.32739"
"2"	"0.1"	"0.1"	"1"	"72"	"RDB"	"0.01937"	"0"	"0.52482"	"-1.50478"	"0.14137"	"3.1498"
"2"	"0.1"	"0.1"	"1"	"73"	"RDB"	"-0.21506"	"-0.89348"	"0.29892"	"1"	"0"	"Inf"
"2"	"0.1"	"0.1"	"1"	"74"	"RDB"	"-100"	"-0.00167"	"-9e-04"	"-3.71613"	"0.12269"	"3.71662"
"2"	"0.1"	"0.1"	"1"	"75"	"RDB"	"-100"	"-0.00169"	"-0.00071"	"0.99917"	"0.0025"	"19.28335"
"2"	"0.1"	"0.1"	"1"	"76"	"RDB"	"-100"	"0.00019"	"-0.00226"	"0.8066"	"0.08015"	"5.41954"
"2"	"0.1"	"0.1"	"1"	"77"	"RDB"	"-100"	"-0.00079"	"-0.00118"	"0.85321"	"0.03539"	"8.69001"
"2"	"0.1"	"0.1"	"1"	"78"	"RDB"	"-100"	"-0.00202"	"-0.00122"	"-4.8904"	"0.14753"	"2.97906"
"2"	"0.1"	"0.1"	"1"	"79"	"RDB"	"-100"	"-0.0016"	"4e-04"	"0.1948"	"0.1082"	"4.21918"
"2"	"0.1"	"0.1"	"1"	"80"	"RDB"	"-0.22577"	"-1.2542"	"0.3089"	"1"	"0"	"140.88515"
"2"	"0.1"	"0.1"	"1"	"81"	"RDB"	"0.23785"	"0.54279"	"0"	"-9.84646"	"0.2352"	"1.11348"
"2"	"0.1"	"0.1"	"1"	"82"	"RDB"	"0.20997"	"-0.16943"	"0.94394"	"1"	"0"	"143.65774"
"2"	"0.1"	"0.1"	"1"	"83"	"RDB"	"-100"	"-0.00183"	"-0.00164"	"0.99942"	"0.00247"	"19.33258"
"2"	"0.1"	"0.1"	"1"	"84"	"RDB"	"-100"	"-0.00197"	"-0.00013"	"0.84683"	"0.05772"	"6.73296"
