"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"u.hats.5"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.1"	"s.hats.2"	"s.hats.3"	"s.hats.4"	"s.hats.5"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.1"	"w.hats.2"	"w.hats.3"	"w.hats.4"	"w.hats.5"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	5	-0.198200762842316	0.117242991866078	-0.296524645413589	0.586349521032734	-0.25367	-0.31545	-0.30706	-0.34233	-0.26412	0.90996	0.10688	27.14651	-5.29025	-0.421558953632589	-0.44792	-0.40726	-0.44967	-0.51281	-0.29014	0.43851	0.26691	-2.1387	-14.8092	-0.295380343142	-0.26597	-0.31457	-0.28804	-0.33674	-0.27158	0.6719	0.20403	6.45753	-7.92503
"stick"	5	-0.159987119259313	0.123122224409599	-0.301106715100409	0.474971669920169	-0.30805	-0.35131	-0.19753	-0.31709	-0.33156	0.77682	0.14572	17.22787	-12.87136	-0.415625768815592	-0.40518	-0.45573	-0.32193	-0.40865	-0.48664	0.00027	0.30842	-6.76445	-22.32792	-0.237086184402805	-0.22949	-0.27327	-0.18578	-0.22092	-0.27597	0.59349	0.19667	7.63352	-5.09837
"stick"	5	-0.333973066078033	0.238972826511599	-0.258352997822366	1.40544960535369	-0.21816	-0.24493	-0.30247	-0.26206	-0.26414	0.92933	0.17605	11.17687	-10.3701	-0.274809675965662	-0.25535	-0.30422	-0.34424	-0.16454	-0.3057	-0.61291	0.84105	-38.86654	-4.94102	-0.561910943554549	-0.47743	-0.52266	-0.65477	-0.5765	-0.57819	0.77329	0.31532	-7.47235	-3.07408
"stick"	5	-0.0907610296853818	0.0829632050008513	-0.157466174418192	0.523683800229939	-0.08675	-0.21324	-0.16351	-0.16126	-0.16257	0.69484	0.08372	34.96183	-12.88188	-0.139242962808011	-0.08961	-0.17274	-0.15299	-0.15364	-0.12723	0.46941	0.1104	26.11146	-7.31638	-0.109412715371971	-0.06534	-0.1412	-0.11764	-0.11666	-0.10622	0.63383	0.09171	32.04588	-9.93148
"stick"	5	-0.144800323469099	0.00759414676576853	-0.134938524583523	1.08397331531318	-0.13372	-0.13723	-0.13502	-0.13656	-0.13216	0.99879	0.00718	113.55387	-4.17797	-0.34294860929138	-0.34283	-0.34695	-0.3407	-0.34486	-0.3394	-0.07734	0.21385	4.9533	-75.97971	-0.187378971137679	-0.18625	-0.19036	-0.18704	-0.18931	-0.18393	0.92663	0.05581	47.94076	-69.71998
"stick"	5	-0.362710074929055	0.240754366444889	-0.383461195828317	0.960955215622223	-0.43166	-0.3289	-0.46341	-0.31957	-0.37377	0.93755	0.20724	5.95826	-14.12204	-0.322268310993299	-0.3734	-0.27226	-0.40744	-0.21113	-0.34712	-0.52618	1.02449	-45.18026	-0.60335	-0.690372942704262	-0.75853	-0.58997	-0.78001	-0.64996	-0.6734	0.65881	0.4844	-21.21108	-9.2381
"stick"	5	-0.139986226521432	0.136773228063248	-0.0195437350722723	8.17097224325978	-0.01956	-0.01981	-0.01642	-0.02676	-0.01517	0.62757	0.13981	18.55291	-15.06301	-0.271866875277391	-0.30741	-0.28263	-0.24195	-0.33136	-0.19599	0.32282	0.18853	8.98668	-11.98996	-0.165584851543319	-0.16697	-0.16798	-0.13962	-0.22509	-0.12826	0.62643	0.14002	18.50411	-14.6123
"stick"	5	-0.183002000208944	0.0292107422137633	-0.188404002353038	0.965947548403771	-0.1951	-0.18273	-0.19393	-0.18955	-0.18071	0.99381	0.02263	76.82544	-6.79433	-0.571673242851664	-0.5605	-0.56761	-0.56523	-0.57888	-0.58615	-0.35056	0.33424	-9.33699	-26.01466	-0.256357857091322	-0.26287	-0.25	-0.26089	-0.25808	-0.24995	0.86845	0.10431	27.92567	-44.34944
"stick"	5	-0.477896353567485	0.071755267737899	-0.477834623222802	0.993410305284318	-0.4707	-0.46983	-0.49759	-0.48365	-0.4674	0.99705	0.0698	40.78375	-2.62386	-0.0735549274474983	-0.07126	-0.04923	-0.09122	-0.09205	-0.06402	-1.90151	2.19017	-69.49343	-0.59163	-1.07584361950144	-1.06634	-1.07305	-1.09654	-1.07961	-1.06368	0.52425	0.88686	-40.56386	-100.94038
"stick"	5	-0.113594996684697	0.20872355310712	-0.0504741607106014	2.47500589419459	-0.05257	-0.07921	-0.04567	-0.04628	-0.02864	0.45706	0.16865	12.55239	-18.54102	-0.193976326627155	-0.18991	-0.28934	-0.1583	-0.16114	-0.17119	0.28975	0.19289	8.25463	-19.11588	-0.136307353424334	-0.1415	-0.21106	-0.12102	-0.12288	-0.08507	0.45165	0.16948	12.39378	-17.70597
"stick"	5	-0.261890457011759	0.0856346348300576	-0.319847245613908	0.761824424154781	-0.34035	-0.29912	-0.30575	-0.33016	-0.32385	0.97579	0.07731	37.51022	-4.81521	-0.38816457897922	-0.42038	-0.46507	-0.33307	-0.46674	-0.25556	0.33519	0.40512	-15.49161	-5.19474	-0.426364132457874	-0.43982	-0.4074	-0.40877	-0.45143	-0.4244	0.70904	0.26801	-2.27037	-21.06642
"stick"	5	-0.126743212831207	0.0027813374181278	-0.132419685640605	0.951230451433445	-0.13251	-0.13326	-0.13285	-0.13205	-0.13142	0.99977	0.00269	145.02907	-3.34978	-0.245123662850981	-0.24545	-0.24617	-0.24553	-0.2441	-0.24436	0.40984	0.13555	19.54359	-95.48078	-0.160578024379818	-0.16067	-0.16149	-0.16103	-0.16008	-0.15962	0.93037	0.04656	53.73861	-120.79126
"stick"	5	-0.22954522324726	0.00756949966307729	-0.232263673104649	0.982512776985013	-0.23539	-0.23196	-0.22866	-0.2317	-0.23361	0.99972	0.00659	116.2974	-3.30927	-0.437481575211109	-0.4447	-0.43258	-0.43462	-0.43576	-0.43976	0.56016	0.25953	-1.24177	-5.16754	-0.346821552338085	-0.35082	-0.34566	-0.3429	-0.34612	-0.34861	0.82326	0.16452	13.34601	-142.44445
"stick"	5	-0.234992110298481	0.0826985712628812	-0.275631963657748	0.833501613489289	-0.26386	-0.28195	-0.28513	-0.28258	-0.26464	0.96736	0.07693	37.67005	-11.32895	-0.564346758691676	-0.58878	-0.51927	-0.58289	-0.55679	-0.57401	0.42258	0.32356	-8.29866	-9.2674	-0.368462652604804	-0.36286	-0.37382	-0.38909	-0.36922	-0.34733	0.77572	0.20166	6.83169	-10.33386
