"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.A"	"u.hats.B"	"u.hats.C"	"u.hats.D"	"u.hats.E"	"u.hats.F"	"u.hats.G"	"u.hats.H"	"u.hats.I"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.A"	"s.hats.B"	"s.hats.C"	"s.hats.D"	"s.hats.E"	"s.hats.F"	"s.hats.G"	"s.hats.H"	"s.hats.I"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.A"	"w.hats.B"	"w.hats.C"	"w.hats.D"	"w.hats.E"	"w.hats.F"	"w.hats.G"	"w.hats.H"	"w.hats.I"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	9	0.473196758236736	0.117229106021114	0.308097507780948	1.47633279370298	0.30968	0.36336	0.19186	0.29113	0.32698	0.33695	0.29761	0.30867	0.34665	0.74936	0.09069	28.47978	-6.27995	0.293555657572591	0.27227	0.3127	0.20049	0.23896	0.30387	0.38134	0.31868	0.29343	0.32027	0.10329	0.17153	10.63357	-26.30021	0.360688580034216	0.34766	0.40371	0.23625	0.31462	0.37748	0.43577	0.37098	0.3647	0.39502	0.55621	0.12067	20.48107	-14.17751
"stick"	9	0.13999683392467	0.0612752696615644	0.207176946137745	0.725107879160072	0.27962	0.16083	0.15917	0.17731	0.17763	0.21157	0.17007	0.23634	0.29205	0.39021	0.0799	32.02402	-21.17573	0.123629968860297	0.17405	0.09263	0.08566	0.08726	0.10889	0.11145	0.10514	0.15368	0.19391	0.30394	0.08537	30.17169	-26.75873	0.132087884527944	0.18324	0.10013	0.09458	0.10016	0.11558	0.12378	0.11122	0.15989	0.20022	0.35129	0.08241	31.15783	-24.99439
"stick"	9	0.11736825928092	0.140534894890152	0.0997022607454533	1.55393275255126	0.08837	0.07396	0.08035	0.05228	0.12184	0.0805	0.10747	0.10665	0.1859	0.18183	0.12858	18.70401	-12.71403	0.140762941377085	0.12948	0.08982	0.11026	0.06864	0.14904	0.11791	0.15666	0.16029	0.28476	0.13815	0.13196	17.97588	-13.14191	0.148146229496686	0.13384	0.10245	0.11789	0.07575	0.17028	0.12167	0.16232	0.16279	0.28633	0.17319	0.12925	18.55696	-12.89731
"stick"	9	0.115435762784909	0.229200579808094	0.0106354509519445	0.864918947433591	-0.00681	0.25653	-0.04873	0.30189	-0.17853	-0.05516	-0.0074	-0.19938	0.03332	-0.61468	0.30982	-5.92113	-25.04685	0.0378242737413414	0.06913	0.1502	0.03826	0.09506	-0.12837	0.07138	0.02162	-0.03855	0.06169	-0.14072	0.26041	-1.05638	-20.75521	0.0386728142850018	0.06154	0.17587	0.03932	0.13782	-0.13076	0.05963	0.01562	-0.06141	0.05042	-0.16352	0.263	-1.33347	-21.97341
"stick"	9	0.385720101709012	0.249996238562744	0.21682593611775	1.47386298116585	0.1572	0.12716	-0.03611	0.22757	0.31344	0.30937	0.43333	0.35176	0.06771	0.16733	0.24771	0.34341	-18.0245	0.213014682975886	0.15399	0.08152	0.02049	0.20882	0.23829	0.31913	0.52775	0.28121	0.08593	-0.26049	0.30478	-5.46129	-22.94115	0.250855822663358	0.18312	0.11435	-0.00411	0.25808	0.29829	0.37507	0.58311	0.35604	0.09375	-0.03557	0.27625	-2.70966	-21.64343
"stick"	9	0.380273626942653	0.220571551239118	0.389022195740795	1.17380166842249	0.53434	0.45913	0.24793	0.42857	0.39762	0.18082	0.36628	0.44451	0.44201	0.34365	0.2339	1.94939	-3.82003	0.310315562466043	0.48027	0.27783	0.20024	0.32882	0.31643	0.06303	0.34117	0.40462	0.38044	0.4937	0.20544	5.58319	-8.42502	0.360726632855403	0.52367	0.36113	0.23368	0.38499	0.36679	0.12274	0.37527	0.4527	0.42556	0.50919	0.20227	6.01839	-5.35035
"stick"	9	0.349987289402634	0.0902493878384121	0.342860165753204	1.02427765015294	0.33026	0.37501	0.46634	0.28069	0.31052	0.30971	0.45516	0.30061	0.25743	0.73707	0.06941	35.96645	-11.5926	0.228694894682917	0.20675	0.23253	0.32988	0.18473	0.20888	0.24174	0.30113	0.19111	0.16151	0.10999	0.1277	18.8956	-33.16641	0.269717352484547	0.25005	0.28264	0.38383	0.22114	0.24519	0.26999	0.35093	0.23044	0.19325	0.48214	0.09741	26.47693	-23.69605
"stick"	9	0.125966508488636	0.084651286364533	0.267859579793375	0.554027299636048	0.40557	0.17231	0.29068	0.28122	0.36587	0.10873	0.08902	0.39568	0.30166	0.51012	0.07535	33.66843	-6.25206	0.108215384314616	0.17651	0.06262	0.10885	0.10843	0.14545	0.04268	0.04535	0.14629	0.13775	0.63665	0.06489	37.85152	-3.4242	0.117800969400402	0.18813	0.07047	0.12048	0.11996	0.15898	0.04708	0.04663	0.16263	0.14586	0.63115	0.06538	37.64119	-3.94729
"stick"	9	0.292516575846821	0.22371200658381	0.210073557735805	0.953433892503437	0.17747	0.15073	-0.03603	0.41015	0.45334	0.15597	0.57183	0.16256	-0.15536	-0.29881	0.22797	2.66924	-17.66459	0.157320153919679	0.10488	0.08925	-0.04878	0.27878	0.33507	0.12017	0.36799	0.15423	0.01428	-0.73057	0.26314	-1.34881	-35.04744	0.173816246996876	0.12266	0.10578	-0.04021	0.31378	0.3637	0.12916	0.42361	0.15804	-0.01217	-0.52203	0.24678	0.44887	-30.00137
"stick"	9	0.490327248745598	0.189054133254103	0.34838634529435	1.19300347375043	0.2822	0.50352	0.37958	0.29576	0.37091	0.35058	0.32588	0.26969	0.35736	0.29088	0.16895	11.05869	-9.14633	0.239957468459867	0.1865	0.32996	0.29849	0.17417	0.20759	0.31027	0.18241	0.1907	0.27952	-0.60447	0.25413	-0.37259	-25.78291	0.294261619186664	0.22979	0.41587	0.35468	0.2274	0.26238	0.3537	0.23654	0.23504	0.33296	-0.13043	0.21331	4.53009	-16.99006
"stick"	9	0.449512061593123	0.117663073004223	0.425299752055849	1.00891914004948	0.27308	0.41324	0.4588	0.50559	0.30031	0.54247	0.48877	0.49654	0.3489	0.67713	0.08547	30.13865	-7.47161	0.25503057903602	0.14002	0.21832	0.25438	0.26478	0.18967	0.38921	0.33782	0.27515	0.22592	-0.44972	0.18111	9.11233	-33.50343	0.305621769301031	0.17457	0.27485	0.30768	0.33418	0.22621	0.44283	0.38591	0.33975	0.26463	0.15511	0.13826	16.67122	-19.68708
"stick"	9	0.416943554778118	0.0323057509958744	0.41366713277766	1.00629139217396	0.42341	0.43644	0.37629	0.45164	0.37945	0.3934	0.39712	0.44161	0.42363	0.93287	0.03254	57.17921	-5.26262	0.249808219354376	0.23616	0.24052	0.24578	0.24288	0.2245	0.27116	0.26867	0.25142	0.26719	-0.32068	0.14432	15.47028	-55.17035	0.301270233041859	0.29326	0.30152	0.28905	0.30643	0.27275	0.31086	0.3092	0.31117	0.3172	0.42017	0.09563	26.99461	-36.71797
"stick"	9	0.290012883977033	0.0133095466298983	0.267246523329087	1.07292191161285	0.27354	0.25471	0.25588	0.27642	0.28075	0.27647	0.26373	0.26895	0.25476	0.99041	0.00997	90.30149	-5.55695	0.205729282419416	0.20106	0.18414	0.20021	0.20022	0.2158	0.2293	0.22255	0.19718	0.20111	0.56512	0.06713	36.90093	-55.97435	0.237263696793219	0.23678	0.21861	0.22894	0.23761	0.24948	0.2556	0.24667	0.23239	0.22929	0.85238	0.03911	52.02652	-36.85129
"stick"	9	0.493183540564496	0.104377012874465	0.430161726184323	1.07601173399472	0.50662	0.38208	0.38389	0.44765	0.44893	0.39074	0.4912	0.39772	0.42264	0.75596	0.07475	33.88952	-6.20718	0.263815399482065	0.30698	0.19511	0.23933	0.26769	0.2867	0.22124	0.34023	0.24029	0.27676	-0.53686	0.18759	8.12722	-39.84593	0.3233587700856	0.38222	0.25366	0.28923	0.33671	0.35087	0.26839	0.39687	0.29955	0.33272	0.19282	0.13595	17.14243	-23.38337
"stick"	9	0.216214001446497	0.0619147472898476	0.38956887839755	0.685129311121908	0.46581	0.34831	0.44169	0.38585	0.3486	0.44865	0.41322	0.33738	0.31661	0.56917	0.07621	33.35075	-11.14929	0.18618649308049	0.20886	0.16366	0.22789	0.15079	0.1623	0.22632	0.21136	0.16224	0.16226	0.73314	0.05998	40.05627	-14.03457	0.207583868084231	0.23727	0.18433	0.24883	0.17929	0.18327	0.24539	0.23059	0.18178	0.17752	0.74418	0.05872	40.64773	-12.41813
"stick"	9	0.232416103978176	0.160964401846286	0.254590485846456	0.851358053442153	0.16328	0.27835	0.209	0.36293	0.1891	0.26723	0.14253	0.19387	0.48502	0.36459	0.14916	14.54621	-20.76939	0.152716147043865	0.11871	0.21015	0.16822	0.18925	0.03334	0.18735	0.02492	0.14122	0.3013	0.13418	0.17412	10.21448	-25.17575	0.170856380565416	0.12626	0.21922	0.17628	0.2231	0.05176	0.20087	0.05762	0.15197	0.33064	0.23881	0.16326	12.01751	-24.49024
"stick"	9	0.111655140772928	0.0958080316195264	0.219819305307756	0.579961333421733	0.17987	0.08484	0.18956	0.38931	0.23681	0.05642	0.4368	0.32234	0.08242	0.39107	0.09371	27.55965	-18.89413	0.0960562698215626	0.04925	0.05239	0.06258	0.16578	0.10763	0.03631	0.19887	0.16463	0.02706	0.26101	0.10324	24.84951	-22.25454	0.103468221277151	0.05747	0.05295	0.07402	0.1787	0.11562	0.03592	0.21354	0.17119	0.0318	0.31382	0.09948	25.88756	-21.60217
"stick"	9	0.28393856883049	0.0916697279899381	0.267683295776088	1.09143884086441	0.3466	0.3191	0.22004	0.25024	0.2957	0.33985	0.15241	0.2341	0.25111	0.74248	0.06811	36.49699	-13.22325	0.212372408276476	0.25754	0.24296	0.17937	0.16068	0.23977	0.3051	0.13971	0.17351	0.21271	0.43533	0.10085	25.505	-28.91886	0.243184228505869	0.30239	0.28458	0.20307	0.19935	0.27372	0.33278	0.15096	0.20413	0.23768	0.63183	0.08143	31.49263	-20.99196
"stick"	9	0.255879972153343	0.20751437463332	0.276234698023891	0.925088099650114	-0.00148	0.45025	0.29567	0.15495	0.24556	0.33626	0.57632	0.26154	0.16706	0.26254	0.16814	11.19244	-10.01725	0.176206940150713	0.01145	0.24075	0.18176	0.07432	0.1378	0.27106	0.38994	0.15903	0.11977	-0.01479	0.19724	6.72338	-15.0913	0.199544972415067	0.00939	0.28902	0.20739	0.09209	0.16092	0.28737	0.42914	0.1882	0.13238	0.11984	0.18369	8.71598	-12.94825
"stick"	9	0.402433296025265	0.203350851428695	0.344635307821265	0.9813146260326	0.33315	0.36732	0.35293	0.26043	0.41724	0.39883	0.16385	0.35102	0.45696	0.16311	0.17803	9.59213	-17.83621	0.209648260091734	0.20882	0.19147	0.21545	0.15821	0.23362	0.30536	0.14762	0.17287	0.25341	-0.32591	0.22409	3.14994	-30.3853	0.247006351553379	0.24588	0.24065	0.25328	0.18889	0.27988	0.33841	0.15701	0.21834	0.30071	-0.07714	0.20197	6.05896	-24.84393
"stick"	9	0.209464488271624	0.0206039631739259	0.139254061976949	1.45116504993212	0.13944	0.13218	0.13624	0.13671	0.1571	0.13269	0.13206	0.15454	0.13235	0.96306	0.01663	75.96695	-6.73322	0.164620036212927	0.16194	0.15014	0.16219	0.15595	0.18545	0.16792	0.16388	0.17725	0.15686	0.83737	0.0349	55.21746	-25.7917	0.183831707499162	0.18273	0.17142	0.1803	0.17766	0.20734	0.18088	0.17815	0.20123	0.17476	0.93645	0.02182	68.37287	-12.12873
"stick"	9	0.46115118250018	0.0740575086674653	0.34164498488589	1.2494573933213	0.30818	0.33017	0.35495	0.3687	0.3785	0.2591	0.40467	0.34412	0.3264	0.81178	0.06655	37.14224	-6.46529	0.2732399916481	0.2269	0.22921	0.27264	0.28543	0.29961	0.24414	0.37171	0.26895	0.26058	0.08888	0.14643	15.06337	-34.55611	0.331175071766181	0.2845	0.29482	0.33261	0.35502	0.36611	0.27607	0.42569	0.33172	0.31403	0.56965	0.10064	25.56426	-18.12167
"stick"	9	0.135316837893333	0.0235744168167002	0.388452392634125	0.435711274884646	0.35553	0.42124	0.39954	0.427	0.40535	0.37044	0.34181	0.40466	0.3705	0.72571	0.03686	53.68471	-13.34691	0.120601468122103	0.10764	0.12932	0.12621	0.12776	0.12616	0.12325	0.11484	0.12478	0.10545	0.89868	0.02241	67.62669	-11.21144	0.130454855548991	0.11739	0.14072	0.13581	0.13958	0.13645	0.13098	0.12185	0.13553	0.11579	0.89877	0.02239	67.64013	-9.03864
"stick"	9	0.0505380534334108	0.001850314962212	0.0858738155274156	0.597936957407825	0.08865	0.08659	0.08547	0.08338	0.08472	0.08834	0.08302	0.08587	0.08683	0.99267	0.00194	136.0963	-5.03115	0.0470250221506403	0.04817	0.04663	0.04709	0.04485	0.04624	0.04937	0.04627	0.04672	0.04788	0.97092	0.00387	116.79645	-15.89921	0.0485062780355058	0.04983	0.04839	0.04847	0.04656	0.04776	0.05055	0.04742	0.04831	0.04927	0.9836	0.00291	124.81656	-9.81634
"stick"	9	0.280270658270456	0.100103359494824	0.186901962110529	1.36545230729341	0.19306	0.15221	0.17435	0.14824	0.1787	0.22218	0.17042	0.21233	0.23063	0.52971	0.0921	28.0467	-8.39866	0.195010958180156	0.19594	0.15303	0.19551	0.13808	0.16984	0.24983	0.19533	0.20587	0.25168	0.35071	0.10822	23.53149	-13.60873	0.222736328031858	0.22751	0.17843	0.21658	0.16646	0.20137	0.27538	0.21372	0.24335	0.28182	0.48048	0.0968	26.65317	-10.59824
"stick"	9	0.136041596648283	0.123841726919636	0.294055518802831	0.579062959665649	0.26648	0.24799	0.45623	0.32817	0.11662	0.26441	0.14555	0.39738	0.42366	0.37082	0.10699	23.84924	-9.9865	0.132593095736773	0.11342	0.10389	0.23804	0.1414	-0.0021	0.12347	0.06669	0.17482	0.2337	0.48125	0.09715	26.5511	-18.37845	0.140313555304268	0.12406	0.11009	0.23805	0.15439	0.01819	0.13152	0.07167	0.18391	0.23095	0.49148	0.09619	26.82987	-14.70111
"stick"	9	0.269515607808717	0.221945192432031	0.251322774314041	0.906245147404896	0.2828	0.29699	0.12979	0.24064	0.3805	0.33986	0.12426	0.3946	0.07247	0.09851	0.2092	5.07448	-21.51814	0.141489135917776	0.1801	0.12563	0.06673	0.12646	0.238	0.14686	0.11966	0.18254	0.08741	-0.2063	0.242	0.99677	-22.73873	0.164402370602325	0.20398	0.15974	0.08104	0.14852	0.26646	0.18374	0.12387	0.2241	0.08819	-0.06664	0.22756	2.7194	-22.5691
"stick"	9	0.38842673789477	0.186166698229499	0.301321602264755	1.10883730701336	0.20521	0.2741	0.14875	0.31101	0.31574	0.31815	0.27469	0.46204	0.4022	0.36397	0.15671	13.16459	-15.80006	0.22930456603203	0.1666	0.1518	0.12574	0.21056	0.25208	0.24612	0.24978	0.32617	0.3349	0.06319	0.19018	7.74329	-20.5913	0.267370026869315	0.19201	0.19777	0.14134	0.25702	0.29086	0.28438	0.27236	0.39209	0.3785	0.2431	0.17095	10.72885	-17.44237
"stick"	9	0.115466068184469	0.0426578792394139	0.292512841318515	0.432979823536343	0.20331	0.27203	0.18805	0.35765	0.38169	0.24699	0.39414	0.31428	0.27447	0.63254	0.03758	53.14889	-10.16955	0.0964439572815462	0.05533	0.08983	0.06289	0.11734	0.12523	0.09457	0.14878	0.09129	0.08273	0.42969	0.04681	46.99505	-19.31855	0.102605451683069	0.06152	0.09602	0.06664	0.12535	0.13367	0.0975	0.15398	0.09972	0.08903	0.50632	0.04355	49.01501	-16.91538
