"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"R2"	"sig.hat"	"logLike"
"2"	"0.1"	"0.1"	"1"	"67"	"RDB.all"	"0.34683"	"0.11568"	"0.1283"	"1"	"0"	"Inf"
"2"	"0.1"	"0.1"	"1"	"68"	"RDB.all"	"0.06427"	"0.74403"	"0"	"-1.81007"	"0.19677"	"1.82716"
"2"	"0.1"	"0.1"	"1"	"69"	"RDB.all"	"0.21577"	"0"	"0"	"-3.41051"	"0.40412"	"-1.05158"
"2"	"0.1"	"0.1"	"1"	"70"	"RDB.all"	"0.0123"	"0"	"-3.63345"	"-0.4915"	"0.30019"	"0.13757"
"2"	"0.1"	"0.1"	"1"	"71"	"RDB.all"	"0.14757"	"0"	"0.72651"	"-8.0742"	"0.17364"	"2.32739"
"2"	"0.1"	"0.1"	"1"	"72"	"RDB.all"	"0.01937"	"0"	"0.52482"	"-1.50478"	"0.14137"	"3.1498"
"2"	"0.1"	"0.1"	"1"	"73"	"RDB.all"	"-0.21506"	"-0.89348"	"0.29892"	"1"	"0"	"Inf"
"2"	"0.1"	"0.1"	"1"	"74"	"RDB.all"	"0.16902"	"0"	"0"	"-19.67862"	"0.25691"	"0.7604"
"2"	"0.1"	"0.1"	"1"	"75"	"RDB.all"	"-1.84901"	"-0.09054"	"-0.03736"	"1"	"0"	"Inf"
"2"	"0.1"	"0.1"	"1"	"76"	"RDB.all"	"0.06878"	"-0.7048"	"0"	"-0.95193"	"0.25464"	"0.79589"
"2"	"0.1"	"0.1"	"1"	"77"	"RDB.all"	"-0.05118"	"-0.97232"	"-1.74357"	"1"	"0"	"Inf"
"2"	"0.1"	"0.1"	"1"	"78"	"RDB.all"	"0.21638"	"0"	"0"	"-26.64672"	"0.31962"	"-0.11331"
"2"	"0.1"	"0.1"	"1"	"79"	"RDB.all"	"0.04532"	"0"	"0"	"-1.2359"	"0.18031"	"2.17656"
"2"	"0.1"	"0.1"	"1"	"80"	"RDB.all"	"-0.22577"	"-1.2542"	"0.3089"	"1"	"0"	"140.88515"
"2"	"0.1"	"0.1"	"1"	"81"	"RDB.all"	"0.23785"	"0.54279"	"0"	"-9.84646"	"0.2352"	"1.11348"
"2"	"0.1"	"0.1"	"1"	"82"	"RDB.all"	"0.20997"	"-0.16943"	"0.94394"	"1"	"0"	"Inf"
"2"	"0.1"	"0.1"	"1"	"83"	"RDB.all"	"-4.61109"	"-0.03918"	"-0.0352"	"1"	"0"	"138.11257"
"2"	"0.1"	"0.1"	"1"	"84"	"RDB.all"	"0.03641"	"0"	"-0.55643"	"-1.29349"	"0.22334"	"1.32041"
"2"	"0.1"	"0.1"	"1"	"85"	"RDB.all"	"-0.11907"	"-0.8201"	"-0.39332"	"1"	"0"	"Inf"
"2"	"0.1"	"0.1"	"1"	"86"	"RDB.all"	"0.00093"	"0.50156"	"0"	"-1.20123"	"0.12922"	"3.50924"
"2"	"0.1"	"0.1"	"1"	"87"	"RDB.all"	"-0.00488"	"-0.6641"	"-30.03185"	"1"	"0"	"Inf"
"2"	"0.1"	"0.1"	"1"	"88"	"RDB.all"	"0.14968"	"0.90168"	"0.84628"	"1"	"0"	"Inf"
"2"	"0.1"	"0.1"	"1"	"89"	"RDB.all"	"0.03387"	"0"	"0"	"-1.76177"	"0.0972"	"4.64836"
"2"	"0.1"	"0.1"	"1"	"90"	"RDB.all"	"-0.08394"	"-1.23975"	"-1.07706"	"1"	"0"	"Inf"
"2"	"0.1"	"0.1"	"1"	"91"	"RDB.all"	"-0.30762"	"-0.07213"	"-0.76771"	"1"	"0"	"Inf"
"2"	"0.1"	"0.1"	"1"	"92"	"RDB.all"	"0.00112"	"-0.94591"	"0"	"-1.21437"	"0.25141"	"0.84698"
"2"	"0.1"	"0.1"	"1"	"93"	"RDB.all"	"0.44589"	"0.30689"	"0.2302"	"1"	"0"	"Inf"
"2"	"0.1"	"0.1"	"1"	"94"	"RDB.all"	"-0.00782"	"0"	"0"	"-0.00648"	"0.0689"	"6.02469"
"2"	"0.1"	"0.1"	"1"	"95"	"RDB.all"	"0.16968"	"0"	"0"	"-27.63324"	"0.25175"	"0.84158"
"2"	"0.1"	"0.1"	"1"	"96"	"RDB.all"	"-0.02776"	"0"	"-2.96252"	"0.20113"	"0.11535"	"3.96343"
"2"	"0.1"	"0.1"	"1"	"97"	"RDB.all"	"0.02118"	"-1.24505"	"0"	"-0.94348"	"0.28971"	"0.27975"
"2"	"0.1"	"0.1"	"1"	"98"	"RDB.all"	"-0.01743"	"-5.67594"	"-0.5591"	"1"	"0"	"Inf"
"2"	"0.1"	"0.1"	"1"	"99"	"RDB.all"	"0.08136"	"0"	"0.31287"	"-3.36514"	"0.12938"	"3.50434"
"2"	"0.1"	"0.1"	"1"	"100"	"RDB.all"	"-0.86107"	"-0.08283"	"-0.23854"	"1"	"0"	"Inf"
