"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.max"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.1"	"s.hats.2"	"s.hats.3"	"s.hats.4"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.1"	"w.hats.2"	"w.hats.3"	"w.hats.4"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	4	-0.112203309067991	0.170072768582031	-0.223818675735509	0.538851758274161	-0.10835	-0.42308	-0.2944	-0.06944	0.59414	0.13925	9.84131	-5.83368	-0.22217476879657	-0.17257	-0.32568	-0.21999	-0.17045	0.10793	0.20644	3.54094	-1.75968	-0.157977935834483	-0.09927	-0.26626	-0.18048	-0.08589	0.50081	0.15443	8.18545	-3.90481
"stick"	4	-0.466661816858687	0.139400583168026	-0.480921541019379	0.930436489898586	-0.45862	-0.56365	-0.40195	-0.49947	0.97057	0.15157	8.48425	-6.53636	-0.312756546979603	-0.25705	-0.18278	-0.4304	-0.38079	-0.65071	1.1351	-23.73054	-1.33515	-0.806605311387873	-0.81006	-0.89466	-0.72074	-0.80096	0.73327	0.45628	-9.14875	-20.68598
"stick"	4	-0.225697533856146	0.100663027726114	-0.175027557065555	1.38961816720321	-0.15534	-0.14768	-0.2144	-0.1827	0.95539	0.06599	21.78891	-1.70001	-0.410095410468048	-0.3536	-0.35325	-0.48591	-0.44762	0.66827	0.17994	5.73874	-12.00529	-0.307437424882369	-0.2732	-0.26377	-0.36914	-0.32364	0.90099	0.09831	15.41148	-5.14814
"stick"	4	-0.286657902027946	0.212423118238803	-0.153300802998306	2.19462257378099	-0.06826	-0.25107	-0.12343	-0.17045	0.84527	0.1787	5.84952	-6.36941	-0.257300985407621	-0.09833	-0.47318	-0.18512	-0.27258	0.19097	0.40863	-7.38397	-3.58745	-0.396597286520839	-0.19447	-0.61965	-0.34192	-0.43035	0.81976	0.19287	4.62852	-4.11788
"stick"	4	-0.0721359616029076	0.240360385621898	-0.193645073418498	0.57146886177397	-0.21681	-0.31584	-0.39103	0.1491	-0.50653	0.27108	-0.81783	-17.15017	-0.108298194164396	-0.11253	-0.13467	-0.13844	-0.04756	0.16839	0.20141	3.93581	-11.12422	-0.0985277520998326	-0.09875	-0.13291	-0.1544	-0.00806	0.16486	0.20183	3.90192	-16.4354
"stick"	4	-0.45038255660329	0.00317617418477312	-0.450281715095383	1.00034797207651	-0.45072	-0.45142	-0.44992	-0.44906	0.99999	0.00315	70.43893	-3.75029	-0.124348614408745	-0.12462	-0.12607	-0.12355	-0.12316	-1.62565	1.36071	-26.63109	-5.73622	-0.786309178197767	-0.78672	-0.78713	-0.78651	-0.78488	0.77434	0.39891	-6.99863	-101.69552
"stick"	4	-0.189485596981831	0.152509057254065	-0.106166785439912	1.96349802920382	-0.04559	-0.15739	-0.1397	-0.08199	0.85364	0.10512	14.34012	-5.7626	-0.358453283875592	-0.22327	-0.51058	-0.45734	-0.24262	0.52696	0.18897	4.95531	-5.181	-0.233611374117715	-0.10769	-0.34237	-0.30337	-0.18102	0.84211	0.10918	13.73367	-3.93993
"stick"	4	-0.198436812218279	0.0976460712845437	-0.196669445935465	1.00287133438017	-0.19674	-0.11264	-0.21208	-0.26522	0.92376	0.07332	20.1045	-1.47681	-0.322542119418638	-0.32004	-0.21015	-0.35209	-0.40789	0.67722	0.15085	8.56009	-15.2957	-0.258901751533776	-0.25649	-0.15915	-0.28015	-0.33982	0.84737	0.10373	14.55185	-5.81607
"stick"	4	-0.452597737708129	0.000830666569527239	-0.452428625753966	1.00043143908008	-0.45192	-0.45247	-0.4529	-0.45242	1	0.00037	104.62126	-5.16315	-0.125338570208759	-0.12506	-0.12532	-0.12561	-0.12537	-1.61998	1.36992	-26.73908	-5.78802	-0.792097610625707	-0.79143	-0.79222	-0.79272	-0.79202	0.77278	0.40343	-7.17887	-155.41597
"stick"	4	-0.208885386877228	0.0717192408628762	-0.316832677649147	0.581852773796989	-0.29157	-0.34535	-0.35864	-0.27178	0.94444	0.06879	21.12426	-4.31787	-0.355407447668213	-0.33397	-0.34921	-0.39559	-0.34286	0.61211	0.18176	5.57777	-18.46291	-0.276073131134183	-0.2554	-0.28408	-0.31037	-0.25444	0.80869	0.12765	11.23237	-7.97357
"stick"	4	-0.372219589562155	0.245544972713105	-0.50812099014474	0.672778902160046	-0.39123	-0.72625	-0.44665	-0.46836	0.8906	0.22936	1.85653	-5.39441	-0.270747316347924	-0.30727	-0.39257	-0.26524	-0.11791	-0.20548	0.76135	-17.34039	-3.70719	-0.595625769445755	-0.46836	-0.75712	-0.58759	-0.56943	0.69599	0.38234	-6.31977	-1.97858
