"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.mut.1"	"u.hats.mut.2"	"u.hats.mut.3"	"u.hats.mut.4"	"u.hats.mut.5"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.mut.1"	"s.hats.mut.2"	"s.hats.mut.3"	"s.hats.mut.4"	"s.hats.mut.5"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.mut.1"	"w.hats.mut.2"	"w.hats.mut.3"	"w.hats.mut.4"	"w.hats.mut.5"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	5	0.467502688860986	0.134054297930561	0.32958253946449	1.28297961833104	0.34873	0.33587	0.51647	0.36421	0.08264	0.64547	0.13931	7.62511	0	0.347300600224745	0.33042	0.35395	0.4932	0.35713	0.20181	-26.73979	1.2323	-18.53387	0	0.379236235819234	0.36472	0.38485	0.55293	0.39281	0.20088	-4.01251	0.52383	-8.26829	0
"stick"	5	0.206404818897136	0.110698687494732	0.215972000845342	1.30747550039828	0.21353	0.2276	0.17676	0.18398	0.27799	0.61282	0.15572	6.28911	0	0.198506403090968	0.21331	0.19402	0.17753	0.17205	0.23562	-1.164	0.36814	-4.03591	0	0.224025824948211	0.23372	0.22451	0.19337	0.19138	0.27714	0.25235	0.21639	2.34074	0
"stick"	5	0.186318804265466	0.00201671221293509	0.187277746410157	1.00071046390705	0.18732	0.18613	0.1895	0.18814	0.18531	0.99974	0.00327	52.63705	0	0.140737029957954	0.14164	0.14008	0.14202	0.14065	0.1393	0.55782	0.13521	7.98355	0	0.152421911861276	0.15316	0.15164	0.15395	0.15254	0.15082	0.92124	0.05707	18.33546	0
"stick"	5	0.303263589739799	0.137366823502816	0.261597651102481	1.11499822677172	0.29945	0.30019	0.22006	0.11654	0.37174	0.43305	0.14291	7.31953	0	0.261353292874286	0.25167	0.27945	0.20621	0.23924	0.33019	-14.41021	0.74505	-12.49559	0	0.278898728385368	0.2761	0.30002	0.21929	0.23942	0.35966	-2.79134	0.36955	-4.08172	0
"stick"	5	0.2658984116395	0.147144896793179	0.15401103277847	1.42926892417641	0.23716	0.12148	0.04942	0.20409	0.15791	0.93407	0.06676	16.45195	0	0.186135458832976	0.27857	0.18357	0.07236	0.22465	0.17153	-0.02159	0.26281	0.00885	0	0.200236672968251	0.3033	0.18598	0.07263	0.24918	0.19009	0.80253	0.11554	9.87017	0
"stick"	5	0.446350963436998	0.151787559967488	0.196726098672619	1.36003577200163	-0.10241	0.12132	0.28853	0.36674	0.30945	0.48203	0.21222	2.57459	0	0.270724825869635	0.15098	0.15537	0.27404	0.41785	0.35538	-4.73712	0.70627	-11.85419	0	0.287971124943783	0.12268	0.16097	0.31357	0.4571	0.38553	-0.24941	0.32959	-2.70848	0
"stick"	5	0.283271708909888	0.0430555886705406	0.24655443457648	1.25619794515118	0.1997	0.29328	0.22346	0.29859	0.21774	0.8308	0.09863	11.76894	0	0.222952011624512	0.17045	0.27263	0.20513	0.27626	0.19029	-2.66758	0.45922	-6.68843	0	0.247165635915696	0.19055	0.30155	0.22567	0.30614	0.21191	0.09819	0.22771	1.7289	0
"stick"	5	0.120348910253961	0.0938968370319344	0.0400320992860195	2.81858842069024	0.01684	0.05306	0.07996	0.04575	0.00456	0.95163	0.0426	21.84458	0	0.0944556626445722	0.02346	0.13251	0.19964	0.10598	0.01068	0.92485	0.05309	19.20094	0	0.106188866071105	0.03843	0.14344	0.21658	0.12052	0.01198	0.949	0.04374	21.52631	0
"stick"	5	0.261086782743223	0.104040865786374	0.133166672646298	1.58812629455053	0.22949	0.03978	0.19329	0.0812	0.12207	0.97417	0.0495	20.04171	0	0.153270337619257	0.29184	0.03265	0.2196	0.09478	0.12748	0.90167	0.09659	12.01985	0	0.174416022176962	0.32208	0.04179	0.25245	0.10584	0.14991	0.96386	0.05856	18.02554	0
"stick"	5	0.234347366762813	0.122304943564814	0.128779736968815	2.06469114595536	0.13984	0.10353	0.14423	0.10032	0.15598	0.53788	0.1903	3.88282	0	0.191674987078738	0.21902	0.15342	0.23591	0.1352	0.21483	-0.26043	0.31428	-2.13751	0	0.225722433536745	0.25113	0.17976	0.26502	0.16652	0.26618	0.43324	0.21074	2.65818	0
