"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.max"	"u.hats.A"	"u.hats.B"	"u.hats.C"	"u.hats.D"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.A"	"s.hats.B"	"s.hats.C"	"s.hats.D"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.A"	"w.hats.B"	"w.hats.C"	"w.hats.D"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	4	-0.0542061186512002	0.015853738761507	-0.026015198203041	2.04355837644946	-0.02472	-0.0272	-0.01787	-0.03427	0.89549	0.01873	26.58573	-1.63108	-0.0027357398391793	-0.00265	-0.00291	-0.00186	-0.00352	0.9006	0.01827	26.83619	-1.38562	-0.0556409207879167	-0.0538	-0.05908	-0.03792	-0.07175	0.90046	0.01828	26.82948	-1.40836
"stick"	4	-0.607507614209317	0.0677722145337611	-0.566553704838108	1.10764196498096	-0.54299	-0.60325	-0.55385	-0.56613	0.99677	0.09105	10.77385	-0.67605	-0.0918017961881071	-0.11092	-0.11924	-0.06818	-0.06886	-0.35521	1.8646	-19.41983	-6.89113	-1.64399672493429	-1.95564	-2.11827	-1.24397	-1.25811	-0.07345	1.65948	-18.25445	-6.98513
"mult"	4	-0.606649538478814	0.0614204106386751	-0.722103377019193	2.04355837644946	-0.06771	-0.06241	-1.37847	-1.37983	-17.43717	12.56886	-38.50161	-6.32089	-0.597182737451075	-0.60824	-0.57434	-0.59701	-0.60914	0.99778	0.13798	6.6172	-1.43731	-3.88815456829783	-1.35302	-1.24765	-6.46525	-6.4867	-7.41025	8.48893	-34.57702	-22.41564
"mult"	4	-0.242266880231909	0.059016446233727	-0.565964691842251	2.04355837644946	-0.20448	-0.2078	-0.92438	-0.9272	-2.56495	5.8644	-30.87838	-4.87943	-0.24077636342867	-0.23724	-0.24045	-0.24256	-0.24286	0.99954	0.06678	13.87483	-0.54632	-3.09807678267901	-2.43735	-2.47483	-3.73575	-3.74438	0.44878	2.30599	-21.5445	-13.30832
"mult"	4	-0.309066827327479	0.164149586693384	-0.604230826572885	2.04355837644946	-0.17292	-0.18587	-1.00568	-1.05246	-3.87608	7.49285	-33.32887	-4.95863	-0.299381576763004	-0.28922	-0.30702	-0.2968	-0.30449	0.99483	0.24391	0.92028	-1.23325	-3.40496328655679	-2.39577	-2.56799	-4.23812	-4.41798	-0.07374	3.5161	-25.76291	-12.87177
"mult"	4	-0.452312528947368	0.00684101751539856	-0.679382471412972	2.04355837644946	-0.12419	-0.12388	-1.2357	-1.23376	-7.7445	10.31789	-36.52818	-5.3382	-0.452839255254328	-0.45386	-0.45299	-0.45306	-0.45145	0.99999	0.01069	32.19847	-2.22238	-3.85883920935901	-2.15515	-2.14982	-5.57183	-5.55856	-1.87664	5.91789	-30.96918	-26.68593
"mult"	4	-0.886339540441986	0.104699540068395	-0.779463858173966	2.04355837644946	0.0011	-0.00208	-1.55658	-1.56029	-190.24169	14.9076	-40.2081	-10.59257	-0.447979886515596	0	0	-0.9118	-0.88012	-43.90836	7.22404	-32.96353	-0.85471	-3.88461906929225	0.02466	-0.04681	-7.74073	-7.7756	-110.50916	11.38339	-37.51094	-18.08717
"mult"	4	-0.761665019730572	0.117593451985158	-0.748192273316259	2.04355837644946	-0.02034	-0.0205	-1.46135	-1.49058	-47.60468	14.13133	-39.67333	-7.85844	-0.63070348615076	-0.56201	-0.56617	-0.68771	-0.70692	0.58362	1.30794	-15.87391	-1.0451	-3.78339535033934	-0.43951	-0.44289	-7.02207	-7.22912	-26.04976	10.54206	-36.74312	-17.4177
"mult"	4	-0.354773259500507	0.0268034760956652	-0.638624436952804	2.04355837644946	-0.16495	-0.16426	-1.10963	-1.11565	-4.76375	8.43221	-34.50998	-4.9907	-0.355220117275035	-0.35609	-0.35491	-0.35456	-0.35532	0.99994	0.02809	22.53571	-1.9925	-3.65790233864495	-2.49328	-2.4832	-4.81569	-4.83944	-0.39856	4.15366	-27.42927	-22.18769
"mult"	4	-0.761334658530541	0.155614612915087	-0.744368265635426	2.04355837644946	-0.01401	-0.01698	-1.47787	-1.46862	-52.57309	14.2037	-39.72441	-8.01548	-0.516452821818813	-0.32834	-0.44933	-0.70592	-0.58222	-1.52657	3.08456	-24.45349	-1.19807	-3.7142414442378	-0.30201	-0.36672	-7.13679	-7.05145	-29.61281	10.73692	-36.92627	-16.45057
"mult"	4	-0.599568683782127	0.220158248557709	-0.722754706066514	2.04355837644946	-0.07338	-0.06319	-1.4	-1.35445	-15.62986	12.32616	-38.30663	-6.2054	-0.585781649954727	-0.60556	-0.54235	-0.61524	-0.57997	0.99829	0.1251	7.59697	-0.76524	-3.91577278687022	-1.45464	-1.25315	-6.62715	-6.32815	-6.32061	8.17819	-34.2041	-17.49819
"mult"	4	-0.45295909679262	0.137928892858326	-0.677621759686403	2.04355837644946	-0.12009	-0.12041	-1.25125	-1.21874	-7.47747	10.29905	-36.50991	-5.35691	-0.451231972666189	-0.44765	-0.44859	-0.45821	-0.45048	0.99902	0.11053	8.83504	-1.02051	-3.83765684239828	-2.0941	-2.09966	-5.65944	-5.49742	-1.80652	5.92582	-30.98257	-14.63062
"mult"	4	-0.617245010961778	0.157770459074527	-0.727532727935681	2.04355837644946	-0.0626	-0.06522	-1.39809	-1.38423	-19.13586	12.60989	-38.5342	-6.50702	-0.644490302945142	-0.64703	-0.66078	-0.62877	-0.64138	0.98033	0.39413	-3.87855	-0.4604	-3.92437973071706	-1.26325	-1.31536	-6.59169	-6.52722	-8.16816	8.50878	-34.60037	-15.566
"mult"	4	-0.868442252639215	0.095528865524102	-0.776946061230183	2.04355837644946	-0.00563	-0.01476	-1.53896	-1.54844	-171.20164	14.65015	-40.03389	-10.49535	-0.793072598626855	-0.79961	-0.72098	-0.82197	-0.82974	0.80382	0.49448	-6.14696	-0.94644	-3.93027658276704	-0.12356	-0.32673	-7.59831	-7.6725	-96.14723	11.0037	-37.1717	-20.06186
"mult"	4	-0.826012416428421	0.133338411455043	-0.77671491522681	2.04355837644946	-0.02162	-0.01848	-1.53833	-1.52844	-88.97877	14.46146	-39.90425	-9.25026	-0.425758845916365	0	0	-0.84716	-0.85588	-20.84476	7.1255	-32.82619	-1.1401	-4.00640753769054	-0.47808	-0.40873	-7.60561	-7.53321	-47.65882	10.63464	-36.83055	-17.95687
"mult"	4	-0.848713159561157	0.0341827174415812	-0.771992555702372	2.04355837644946	-0.00958	-0.01005	-1.53326	-1.53508	-129.20463	14.63187	-40.02141	-9.80439	-0.740609789034934	-0.65361	-0.71098	-0.77413	-0.82372	0.59514	0.81591	-11.15483	-1.10901	-3.88937818913328	-0.21184	-0.22208	-7.55331	-7.57028	-72.96545	11.02811	-37.19386	-27.39785
"mult"	4	-0.640008737472817	0.110940472979564	-0.728970013328184	2.04355837644946	-0.05804	-0.05765	-1.40388	-1.39631	-20.72056	12.96521	-38.81208	-6.54042	-0.64657094150948	-0.65373	-0.65091	-0.64478	-0.63687	0.99953	0.06029	14.8971	-1.10789	-3.89450779188488	-1.18234	-1.17439	-6.63674	-6.58457	-9.32198	8.9377	-35.09217	-25.21353
"mult"	4	-0.491582044109236	0.171543594740797	-0.691562469586242	2.04355837644946	-0.11254	-0.11016	-1.30115	-1.24239	-9.45428	10.91756	-37.09311	-5.51754	-0.478341546190265	-0.481	-0.47282	-0.49376	-0.46577	0.99604	0.21252	2.29792	-1.37507	-3.88829336843069	-2.01752	-1.97512	-5.95159	-5.60894	-2.77046	6.55655	-31.99404	-14.95293
"mult"	4	-0.146741511987057	0.0232456388184801	-0.464903728742179	2.04355837644946	-0.2331	-0.23747	-0.70126	-0.68778	-1.12881	3.33001	-25.21914	-5.16241	-0.145590572711653	-0.14408	-0.1464	-0.14695	-0.14493	0.99951	0.05075	16.61962	-1.40835	-2.25541667329826	-1.98496	-2.01951	-2.52898	-2.48822	0.81713	0.97599	-12.94636	-13.656
