"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.mut.1"	"u.hats.mut.2"	"u.hats.mut.3"	"u.hats.mut.4"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.mut.1"	"s.hats.mut.2"	"s.hats.mut.3"	"s.hats.mut.4"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.mut.1"	"w.hats.mut.2"	"w.hats.mut.3"	"w.hats.mut.4"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	4	0.281942753237672	0.125041914579924	0.282451686038192	0.999894333238047	0.37732	0.3024	0.36883	0.08126	0.70198	0.10454	14.42759	-5.25567	0.153208267921366	0.20334	0.19804	0.17161	0.03984	0.02099	0.18948	4.9126	-14.1668	0.189155099849258	0.25143	0.23649	0.22113	0.04758	0.36312	0.15283	8.35225	-11.10495
"stick"	4	0.299958896171302	0.217701344867237	0.0443710256369073	5.31755906150901	0.01864	0.02737	0.07632	0.05515	0.64742	0.17763	5.94627	-7.91181	0.1817267834774	0.10767	0.10045	0.31774	0.20105	0.57854	0.1942	4.51862	-9.93621	0.223793406628313	0.10353	0.13446	0.38566	0.27152	0.644	0.17848	5.869	-8.27659
"stick"	4	0.397330711467657	0.166509306349326	0.230887651467229	1.49586815401937	0.19989	0.19419	0.29744	0.23204	0.57048	0.17424	6.25384	-8.49619	0.185758212242111	0.19471	0.15029	0.22918	0.16886	0.06266	0.2574	0.01082	-11.97802	0.244702721268709	0.24318	0.19846	0.30759	0.22957	0.38658	0.20823	3.40285	-7.67581
"stick"	4	0.391295668680686	0.138366870814934	0.233487170831732	1.3250955778912	0.24682	0.30989	0.35958	0.01766	0.44393	0.17281	6.38629	-7.46374	0.170613494961066	0.14863	0.19555	0.25272	0.08556	-0.38702	0.27292	-0.92584	-17.62973	0.218143631937268	0.19712	0.25893	0.32513	0.09139	0.06691	0.22385	2.24546	-12.28334
"stick"	4	0.259152559679933	0.105112438788638	0.239735913447658	1.01161094362158	0.26233	0.30815	0.1052	0.28326	0.82527	0.06458	22.13558	-3.45328	0.140361890441296	0.13733	0.17937	0.06938	0.17537	0.27775	0.13129	10.78248	-15.21415	0.171430747742777	0.17369	0.21996	0.08112	0.21095	0.58009	0.10011	15.12108	-10.72835
"stick"	4	0.357170114386827	0.204909548570868	0.304045467404019	1.18806875009305	0.31855	0.30666	0.17532	0.41565	0.10885	0.20851	3.38162	-6.99098	0.166168680878858	0.15274	0.12556	0.13678	0.24961	-1.0279	0.31453	-3.19634	-18.02734	0.216819286269855	0.2051	0.1764	0.16529	0.32049	-0.46801	0.26761	-0.61161	-13.41801
"stick"	4	0.459927809471264	0.195721129246522	0.190900362742629	2.14812786499162	0.17673	0.22696	0.22896	0.13095	0.77319	0.15995	7.62359	-5.64559	0.236913931521782	0.20584	0.28236	0.31116	0.14828	0.45401	0.24816	0.59586	-17.69417	0.320464184225968	0.28923	0.38025	0.40324	0.20914	0.6988	0.18432	5.35441	-9.90017
"stick"	4	0.4908090685145	0.00915242359042168	0.479027283904558	1.01144726286987	0.47666	0.48106	0.47011	0.48828	0.99702	0.0087	54.21149	-1.62413	0.183367198765325	0.18124	0.18407	0.18171	0.18646	-2.43163	0.29536	-2.18998	-42.89719	0.243117867632031	0.24025	0.2439	0.24087	0.24745	-0.93598	0.22185	2.38939	-66.28513
"stick"	4	0.259518565959297	0.168373931956012	0.131401434576649	1.78918628399742	0.10537	0.15467	0.08113	0.18443	0.57001	0.14395	9.31002	-6.32571	0.154750390732364	0.13556	0.17885	0.11222	0.19238	0.34002	0.17834	5.88235	-9.25737	0.194052217343571	0.16262	0.22495	0.12967	0.25897	0.51506	0.15287	8.34786	-7.81047
"stick"	4	0.483533050492406	0.169710693822708	0.339815443826801	1.16205917037959	0.5532	0.44486	0.08356	0.27764	0.40243	0.13817	9.96551	-6.63019	0.173641902802503	0.28489	0.20414	0.08956	0.11598	-1.97703	0.30839	-2.88098	-18.99162	0.227732764045113	0.38279	0.27497	0.10363	0.14954	-0.87051	0.24445	0.83674	-14.10327
"stick"	4	0.163144282321446	0.0850910215522163	0.225513664950948	0.783073730432507	0.26669	0.17351	0.15383	0.30802	0.41255	0.08329	18.06414	-3.08901	0.098632472835984	0.11254	0.07817	0.06461	0.13921	-0.37183	0.12728	11.2792	-8.92902	0.11662940738205	0.13513	0.09073	0.07562	0.16504	-0.0318	0.11038	13.55792	-6.25642
"stick"	4	0.417051126656588	0.168430780817289	0.25621177004713	1.17909558342802	0.30038	0.10037	0.31824	0.30585	0.31044	0.1685	6.78964	-8.31742	0.158279083437969	0.15995	0.08124	0.23107	0.16086	-0.85362	0.27627	-1.12105	-15.47951	0.201923737650347	0.20875	0.09859	0.2897	0.21066	-0.31464	0.23266	1.62759	-12.56536
"stick"	4	0.466917636315338	0.190366676310077	0.271263913700718	1.2847924374743	0.25585	0.39427	0.0945	0.34043	0.00686	0.2501	0.47098	-6.41082	0.165385930709873	0.15609	0.19243	0.11412	0.1989	-1.25513	0.37688	-6.08975	-14.70764	0.219106586903177	0.20165	0.27934	0.13176	0.26368	-0.63317	0.32073	-3.50828	-11.07363
"stick"	4	0.187740496057086	0.0176537626539357	0.149822500671939	1.22155629558937	0.14656	0.15028	0.14827	0.15418	0.98507	0.01566	44.79936	-5.51868	0.125543156518708	0.12191	0.12707	0.12095	0.13224	0.75419	0.06357	22.38743	-26.22765	0.149236762163776	0.14534	0.1504	0.14545	0.15576	0.91241	0.03795	30.64209	-17.51621
"stick"	4	0.24356124465121	0.238041156961117	0.123973912290448	1.57824256976072	0.17085	0.23493	0.15784	-0.06773	0.06263	0.23004	1.80902	-8.69827	0.123825504626202	0.1458	0.21544	0.13643	-0.00236	-0.35465	0.27654	-1.13675	-9.70992	0.154152932338769	0.18996	0.27689	0.17835	-0.02858	-0.09378	0.24849	0.5745	-8.31201
"stick"	4	0.214896472613327	0.234378839028068	0.217503573438789	1.23556101479167	0.3895	0.0451	0.13421	0.30121	0.43584	0.26663	-0.55265	-10.34197	0.183656004185389	0.31547	0.03249	0.19822	0.18844	0.48072	0.2558	0.11051	-9.34822	0.216315744918068	0.36119	0.05324	0.20755	0.24328	0.50458	0.24986	0.48682	-9.19749
"stick"	4	0.145302549819462	0.0387261355645023	0.167635118140612	0.880601501101686	0.1498	0.18279	0.16634	0.17161	0.86241	0.03673	31.16418	-1.10315	0.0998961671936742	0.08945	0.11141	0.09592	0.1028	0.58843	0.06352	22.39876	-8.45159	0.115582974472206	0.10324	0.12808	0.11214	0.11887	0.74747	0.04976	26.30615	-5.01165
"stick"	4	0.38936985633336	0.0656085216905922	0.407023522464505	0.938195332115033	0.24963	0.43639	0.45986	0.48221	0.71922	0.08096	18.51735	-3.85015	0.162019511188253	0.12906	0.15644	0.17405	0.18853	-1.42024	0.2377	1.28507	-22.87027	0.208049322987453	0.1607	0.20351	0.22455	0.24344	-0.45686	0.18442	5.34571	-16.45
